77,162,102,0
113,144,102,0
133,129,102,0
126,136,102,1
76,170,102,1
135,137,102,0
82,187,102,0
59,203,102,0
106,184,102,0
146,167,102,1
124,191,102,1
65,231,102,0
158,181,102,1
57,237,102,0
147,201,102,0
127,217,102,1
109,233,102,0
160,202,102,1
143,232,102,0
115,250,102,0
88,265,102,0
168,226,102,1
122,267,102,1
111,279,102,0
133,276,102,0
158,266,102,0
134,284,102,1
111,296,102,0
174,268,102,0
216,236,102,1
126,296,102,0
142,289,102,0
107,305,102,0
154,286,102,1
171,282,102,1
236,238,102,0
273,198,102,0
281,194,102,0
268,216,102,0
132,319,102,1
114,327,102,1
285,203,102,0
277,214,102,0
242,255,102,1
263,236,102,0
158,321,102,1
256,251,102,0
229,280,102,1
237,274,102,1
100,349,102,0
282,229,102,0
128,341,102,0
216,297,102,1
186,317,102,0
163,330,102,0
309,202,102,1
172,329,102,0
326,187,102,1
325,198,102,1
337,180,102,1
110,367,102,0
160,351,102,1
129,368,102,1
154,362,102,0
163,359,102,0
335,211,102,0
366,152,102,0
116,381,102,0
337,223,102,1
300,272,102,0
366,181,102,1
375,162,102,1
167,376,102,1
180,370,102,1
369,188,102,1
218,353,102,0
357,217,102,0
358,226,102,0
214,366,102,0
338,258,102,0
388,190,102,0
407,155,102,0
326,295,102,0
296,326,102,0
346,276,102,0
401,188,102,0
397,202,102,0
381,234,102,1
419,162,102,0
408,199,102,0
426,157,102,1
416,191,102,1
417,216,102,0
415,236,102,1
325,351,102,1
372,314,102,0
418,250,102,0
346,344,102,1
328,366,102,0
413,268,102,0
430,240,102,0
335,362,102,0
356,343,102,0
450,213,102,1
417,275,102,1
442,236,102,0
377,333,102,0
453,222,102,1
328,387,102,0
444,256,102,1
378,349,102,0
450,251,102,0
346,384,102,1
357,374,102,0
445,274,102,0
441,286,102,0
433,335,102,0
145,173,342,0
149,181,342,1
125,213,342,0
134,216,342,1
115,230,342,1
98,241,342,0
193,177,342,0
161,211,342,1
203,178,342,0
101,254,342,0
143,242,342,0
120,257,342,1
130,254,342,0
113,272,342,1
143,258,342,0
155,257,342,0
149,264,342,0
167,253,342,0
201,234,342,0
157,266,342,1
92,296,342,1
254,184,342,0
209,236,342,0
253,192,342,0
207,244,342,1
189,261,342,0
181,268,342,0
143,291,342,1
205,259,342,0
261,209,342,0
174,286,342,0
291,182,342,1
205,277,342,1
270,216,342,0
301,172,342,0
184,294,342,0
98,333,342,0
286,205,342,0
153,319,342,0
290,212,342,0
213,304,342,1
210,318,342,0
303,240,342,1
185,340,342,0
322,215,342,0
326,223,342,0
339,206,342,0
211,339,342,0
186,355,342,1
154,372,342,0
355,208,342,0
158,380,342,0
352,218,342,0
362,206,342,0
361,217,342,1
349,240,342,1
352,249,342,0
303,310,342,1
297,322,342,1
337,280,342,0
349,271,342,1
284,346,342,0
311,324,342,0
364,269,342,1
396,255,342,1
384,283,342,1
360,323,342,0
344,345,342,1
320,385,342,0
393,335,342,0
116,135,162,0
107,151,162,0
126,137,162,0
103,186,162,0
160,155,162,1
150,169,162,0
162,164,162,1
123,196,162,0
156,178,162,0
166,170,162,1
177,159,162,0
110,212,162,0
195,138,162,0
125,204,162,0
154,191,162,1
197,148,162,1
184,164,162,1
179,174,162,0
118,224,162,0
134,219,162,0
68,250,162,0
125,233,162,0
193,181,162,1
150,226,162,0
185,200,162,1
120,256,162,0
66,281,162,0
130,258,162,0
163,241,162,0
150,250,162,0
153,257,162,1
91,289,162,0
158,265,162,1
152,271,162,1
211,230,162,1
210,238,162,0
129,291,162,0
224,232,162,0
150,288,162,0
94,314,162,0
157,295,162,1
111,331,162,0
142,321,162,0
100,341,162,0
233,279,162,1
98,353,162,0
177,328,162,0
248,282,162,1
204,317,162,0
249,291,162,0
118,368,162,0
168,350,162,0
292,258,162,0
189,346,162,0
375,124,162,0
300,263,162,1
153,372,162,0
128,383,162,1
202,356,162,1
214,356,162,0
128,396,162,0
205,372,162,1
291,313,162,0
364,227,162,0
302,312,162,0
403,178,162,1
376,233,162,1
394,206,162,0
390,221,162,0
297,343,162,1
407,202,162,1
290,355,162,0
422,180,162,0
349,299,162,1
376,266,162,0
369,277,162,0
429,185,162,0
371,289,162,0
395,256,162,0
382,276,162,0
338,336,162,1
360,313,162,0
429,211,162,0
298,375,162,0
368,317,162,1
385,297,162,1
431,230,162,0
361,349,162,0
418,279,162,0
375,335,162,0
415,288,162,0
352,365,162,0
384,333,162,1
344,377,162,0
418,297,162,0
382,352,162,0
405,328,162,1
355,383,162,0
363,376,162,0
377,362,162,1
354,394,162,1
427,330,162,0
441,312,162,0
